time_s,v_V,i_A,p_W
0.010658882402001668,26.25501345444249,-0.3211307696093584,-8.431292676729177
0.010708924103419516,26.03930966125712,-0.32543543187884016,-8.474113985438066
0.010758965804837364,25.82074559924618,-0.3297043469325683,-8.513212065111448
0.010809007506255212,25.59934527641838,-0.33393704585470685,-8.548569737421797
0.01085904920767306,25.37513301232939,-0.33813306370755514,-8.580171467445659
0.010909090909090908,25.148133435410525,-0.3422919395826167,-8.608003370489122
0.010959132610508756,24.918371480263424,-0.34641321665122893,-8.632053218188299
0.011009174311926604,24.685872384921133,-0.3504964422147417,-8.652310443881998
0.011059216013344454,24.450661688075826,-0.3545411677542457,-8.6687661472544
0.011109257714762302,24.21276522627359,-0.35854694897983724,-8.681413098245494
0.01115929941618015,23.972209131076372,-0.3625133458794225,-8.69024574022774
0.011209341117597998,23.729019826191575,-0.3664399227670507,-8.695260192447455
0.011259382819015847,23.48322402456961,-0.37032624833077005,-8.69645425172987
0.011309424520433695,23.234848725469593,-0.37417189568000636,-8.693827393447137
0.011359466221851543,22.983921211493662,-0.3779764423924538,-8.687380771748831
0.01140950792326939,22.730469045590084,-0.381739470560476,-8.677117219054848
0.011459549624687239,22.474520068025694,-0.38546056683701047,-8.663041244810952
0.011509591326105087,22.21610239332776,-0.38913932248097227,-8.64515903350747
0.011559633027522935,21.955244407195774,-0.3927753334021523,-8.62347844196206
0.011609674728940783,21.69197476338343,-0.39636820020560437,-8.598008995867682
0.011659716430358631,21.4263223805512,-0.39991752823551585,-8.56876188560735
0.01170975813177648,21.158316439089763,-0.40342292761855875,-8.535749961337471
0.011759799833194329,20.88798637791473,-0.406884013306715,-8.498987727341937
0.011809841534612177,20.615361891232915,-0.4103004051195717,-8.458491335659446
0.011859883236030025,20.340472925280626,-0.4136717277860821,-8.41427857898686
0.011909924937447873,20.063349675034242,-0.41699761098578636,-8.366368882861732
0.011959966638865721,19.78402258089342,-0.4202776893894896,-8.314783297127374
0.01201000834028357,19.502522325337466,-0.4235116026993912,-8.259544486684328
0.012060050041701418,19.218879829554993,-0.4266989956886611,-8.200676721532181
0.012110091743119266,18.933126250047422,-0.4298395182404596,-8.138205866106183
0.012160133444537114,18.645292975206598,-0.4329328253863964,-8.07215936791332
0.012210175145954962,18.35541162186697,-0.4359785773444219,-8.00256624547283
0.01226021684737281,18.063514031832707,-0.43897643955615145,-7.9294570755665035
0.012310258548790658,17.76963226837994,-0.4419260827236149,-7.85286397980429
0.012360300250208506,17.47379861273494,-0.4448271828454267,-7.772820610511208
0.012410341951626354,17.176045560528106,-0.44767942125237703,-7.689362135941682
0.012460383653044204,16.87640581822455,-0.450482484642435,-7.6025252248278425
0.012510425354462052,16.574912299531473,-0.4532360651151634,-7.512348030268569
0.0125604670558799,16.27159812178277,-0.4559398602055395,-7.418870172966355
0.012610508757297748,15.966496602301316,-0.45859357291717956,-7.322132723819368
0.012660550458715596,15.65964125473918,-0.4611969117549618,-7.222178185876305
0.012710592160133444,15.351065785396427,-0.46374959075704547,-7.119050475662076
0.012760633861551293,15.040804089518621,-0.46625132952628234,-7.012794903882402
0.01281067556296914,14.728890247573656,-0.46870185326101665,-6.903458155515887
0.012860717264386989,14.415358521508152,-0.47110089278527034,-6.791088269302245
0.012910758965804837,14.100243350984062,-0.47344818457831067,-6.6757346166358
0.012960800667222685,13.783579349595623,-0.4757434708035964,-6.5574478798734
0.013010842368640533,13.465401301067262,-0.4779864993370994,-6.4362800300663645
0.013060884070058381,13.145744155432771,-0.48017702379499977,-6.312284304126221
0.013110925771476229,12.824643025196316,-0.4823148035607489,-6.1855151814342895
0.013160967472894077,12.502133181475468,-0.4843996038115,-6.056028359905325
0.013211009174311927,12.1782500501269,-0.4864311955439023,-5.923880731515816
0.013261050875729775,11.85302920785506,-0.4884093555992556,-5.789130357307645
0.013311092577147623,11.526506378304264,-0.490333866688023,-5.651836441878089
0.013361134278565471,11.198717428134673,-0.4922045174136986,-5.5120593073674025
0.01341117597998332,10.8696983630825,-0.49402110229602914,-5.36986036695536
0.013461217681401167,10.539485324005069,-0.4957834217935836,-5.225302097878489
0.013511259382819015,10.208114582910879,-0.4974912823256724,-5.07844801397973
0.013561301084236864,9.875622538975374,-0.49914449629361113,-4.929362637802696
0.013611342785654712,9.542045714542649,-0.5007428821013269,-4.778111472242701
0.01366138448707256,9.207420751113746,-0.5022862641753056,-4.6247609717671105
0.013711426188490408,8.871784405321756,-0.5037744729838783,-4.469378513217558
0.013761467889908256,8.53517354489434,-0.5052073450558423,-4.312032366206932
0.013811509591326104,8.19762514460395,-0.5065847229984186,-4.152791663124064
0.013861551292743952,7.859176282206469,-0.5079064555145394,-3.991726368759423
0.013911592994161802,7.5198641343683565,-0.5091723974194685,-3.8289072495650123
0.01396163469557965,7.179725972583028,-0.510382409656748,-3.664405842562064
0.014011676396997498,6.838799159076794,-0.5115363593134732,-3.498294423910185
0.014061718098415346,6.49712114270485,-0.5126341196348924,-3.3306459771517463
0.014111759799833194,6.154729454837672,-0.5136755700383304,-3.1615341611454437
0.014161801501251042,5.8116617052385,-0.5146605961264332,-2.9910332777032096
0.01421184320266889,5.467955577932066,-0.5155890896997343,-2.819218238944578
0.014261884904086738,5.123648827065244,-0.5164609487685397,-2.6461645343829314
0.014311926605504587,4.778779272759919,-0.5172760775641312,-2.471948197758022
0.014361968306922435,4.433384796958749,-0.5180343865492855,-2.296645773629454
0.014412010008340283,4.087503339263993,-0.5187357924281094,-2.1203342837456507
0.01446205170975813,3.7411728927700936,-0.5193802181551902,-1.943091193203215
0.014512093411175979,3.3944314998902936,-0.5199675929440573,-1.764994376411442
0.014562135112593827,3.047317248177983,-0.520497852274959,-1.5861220828770786
0.014612176814011677,2.6998682661429423,-0.520970937901949,-1.4065529028241976
0.014662218515429525,2.3521227190631575,-0.5213867978592844,-1.226365732664413
